gate,K_g
1,696.4610754011154
2,808.9282909110648
3,811.4728634692021
4,772.9717457287477
5,740.4561566193667
6,807.6126312361187
7,922.0027339632968
8,830.9764338153806
9,684.6345961252267
10,768.3886235643753
11,719.6658421954937
12,723.6417368175835
13,796.3355483080096
14,770.0223548090885
15,737.8971262626034
16,803.4777008291453
17,739.3429061251816
18,773.289817298515
19,769.4151272668056
20,834.1426917144265
21,678.3454537230119
22,806.0367311859086
23,708.6779152399002
24,788.4994214528364
25,829.5451117514283
26,788.1524342858177
27,716.1959705253063
28,823.2125959533362
29,764.6874271161753
30,766.5813987361527
90,777.9307706573906
91,759.7862333820357
92,807.468053249861
93,751.5742037625921
94,783.6560589131998
95,766.3211583608885
96,763.6175500178675
97,890.0799145975726
98,870.3594772720076
99,737.9838730543581
100,872.1522443016045
