departure_gate,total_flights,coached_flights,coach_share
1,415,0,0.0
2,461,0,0.0
3,454,0,0.0
4,442,0,0.0
5,438,0,0.0
6,443,0,0.0
7,508,0,0.0
8,454,0,0.0
9,408,0,0.0
10,440,0,0.0
11,420,0,0.0
12,421,0,0.0
13,445,0,0.0
14,457,0,0.0
15,429,0,0.0
16,448,0,0.0
17,447,0,0.0
18,447,0,0.0
19,437,0,0.0
20,472,0,0.0
21,423,0,0.0
22,460,0,0.0
23,432,0,0.0
24,458,0,0.0
25,460,0,0.0
26,442,0,0.0
27,421,0,0.0
28,439,0,0.0
29,428,0,0.0
30,426,0,0.0
90,258,239,0.9263565891472868
91,263,245,0.9315589353612167
92,291,269,0.9243986254295533
93,276,254,0.9202898550724637
94,264,248,0.9393939393939394
95,265,241,0.909433962264151
96,262,244,0.9312977099236641
97,312,292,0.9358974358974359
98,295,274,0.9288135593220339
99,271,250,0.922509225092251
100,293,279,0.9522184300341296
