hour,total,coached,coached_share,psl
3,4,1,0.25,0.75
4,238,46,0.19327731092436976,0.8067226890756303
5,612,104,0.16993464052287582,0.8300653594771241
6,1303,247,0.18956254796623176,0.8104374520337683
7,1879,349,0.18573709419904205,0.814262905800958
8,1698,300,0.17667844522968199,0.823321554770318
9,1072,166,0.15485074626865672,0.8451492537313433
10,455,75,0.16483516483516483,0.8351648351648352
11,219,36,0.1643835616438356,0.8356164383561644
12,351,61,0.1737891737891738,0.8262108262108262
13,677,125,0.18463810930576072,0.8153618906942393
14,1087,197,0.1812327506899724,0.8187672493100275
15,1278,207,0.1619718309859155,0.8380281690140845
16,1186,186,0.15682967959527824,0.8431703204047217
17,975,154,0.15794871794871795,0.842051282051282
18,728,141,0.1936813186813187,0.8063186813186813
19,936,162,0.17307692307692307,0.8269230769230769
20,1008,175,0.1736111111111111,0.8263888888888888
21,485,89,0.18350515463917524,0.8164948453608247
22,131,14,0.10687022900763359,0.8931297709923665
23,3,0,0.0,1.0
