flight_code,assigned_gate,B_min,D_min,passengers,is_coached_model
AFR-7986G,13,283,331,109,0
DLH-4445Z,2,305,337,46,0
IBE-8073E,8,310,351,86,0
IBE-1098X,3,316,365,112,0
IBE-2679B,14,333,370,79,0
TUI-6715D,29,323,373,255,0
SAS-9360Q,97,311,376,280,0
TUI-4451M,95,349,378,103,0
RYR-0252O,26,340,381,118,0
TUI-8388I,22,327,382,260,0
KLM-4769F,92,341,382,96,0
FIN-8766A,96,357,399,126,0
BAW-4433D,17,353,402,294,0
TUI-5717G,12,365,406,86,0
EZY-1612U,10,372,418,312,0
BAW-4391F,5,386,420,68,0
RYR-2542R,99,391,422,84,0
BAW-0785J,30,380,427,144,0
KLM-3541V,93,387,433,64,0
DLH-2632H,98,388,434,106,0
EZY-3038X,2,412,437,89,0
THY-4165I,4,408,439,70,0
AFR-3744G,90,403,442,66,0
TUI-0487V,20,415,445,109,0
WZZ-5853U,19,409,445,96,0
RYR-4379F,7,400,448,284,0
DLH-5763X,25,397,449,269,0
SAS-3214I,29,419,451,117,0
IBE-3328L,21,422,462,53,0
KLM-2141X,3,430,464,62,0
THY-4944R,13,429,467,83,0
THY-2951T,8,431,468,100,0
WZZ-3543N,1,412,468,287,0
IBE-7852Z,91,421,469,258,0
SAS-5591C,16,433,474,107,0
EZY-0857H,96,437,475,137,0
FIN-9531G,92,443,480,68,0
EZY-1846Y,100,439,482,101,0
AFR-0922R,14,444,486,71,0
AFR-8802R,27,446,487,113,0
IBE-7091R,26,442,489,293,0
WZZ-4150U,6,464,495,49,0
WZZ-7306C,23,451,497,116,0
RYR-2367E,28,462,499,96,0
DLH-6778K,22,455,503,88,0
SAS-0420Y,95,453,503,268,0
DLH-8918X,9,459,506,275,0
AFR-0575M,24,458,507,285,0
AFR-2191T,20,481,511,82,0
FIN-7122E,5,466,516,245,0
AFR-5455K,17,472,516,110,0
RYR-7805A,90,486,518,69,0
FIN-0759Y,11,464,518,257,0
BAW-4008E,15,469,519,113,0
THY-4298Y,19,481,523,83,0
RYR-2783J,10,486,525,67,0
DLH-6598W,4,483,525,76,0
RYR-5041V,98,477,525,117,0
IBE-7118V,30,472,529,260,0
DLH-8131D,7,497,531,116,0
THY-2606N,3,508,533,54,0
IBE-8021O,93,494,536,72,0
TUI-1519I,2,492,536,117,0
DLH-5611A,18,498,539,50,0
WZZ-5676I,97,494,539,128,0
TUI-1502H,94,482,542,235,0
FIN-8141O,92,514,542,101,0
WZZ-9628L,29,501,542,86,0
IBE-5519L,91,511,543,88,0
TUI-5269D,25,506,547,76,0
THY-8033I,21,511,553,251,0
TUI-4953H,99,509,556,287,0
WZZ-0845B,13,510,556,76,0
RYR-0300S,12,496,558,330,0
EZY-4236P,96,516,562,119,0
FIN-0978E,8,522,568,72,0
TUI-2040R,100,535,569,48,0
IBE-6332O,27,532,574,62,0
SAS-1086T,16,529,577,75,0
FIN-1430F,1,538,579,62,0
AFR-9829P,24,551,580,90,0
AFR-1266V,14,537,583,48,0
FIN-3341N,95,544,583,72,0
BAW-1269B,6,537,584,93,0
WZZ-7295D,26,546,584,103,0
IBE-8947P,98,555,587,69,0
KLM-9991I,22,547,597,37,0
SAS-9719A,15,558,600,58,0
IBE-7345I,28,548,605,285,0
RYR-7800L,7,576,614,78,0
KLM-6844W,30,611,640,20,0
IBE-0701O,5,610,647,114,0
DLH-8531A,9,590,650,103,0
IBE-6027T,27,627,675,288,0
IBE-2246J,97,643,677,77,0
FIN-4020W,12,647,679,55,0
TUI-1958O,2,666,707,124,0
WZZ-8437W,93,694,731,108,0
AFR-9131E,95,718,754,110,0
BAW-1243I,21,753,783,48,0
EZY-4734X,96,791,821,118,0
BAW-7416R,23,792,831,79,0
AFR-5372G,19,802,841,51,0
EZY-5313X,2,802,843,111,0
FIN-2592P,5,811,846,50,0
RYR-7313D,4,814,849,89,0
FIN-2629C,15,810,852,308,0
DLH-1415K,18,815,857,56,0
AFR-8964B,25,836,880,245,0
THY-1580N,28,835,881,270,0
BAW-5006A,94,841,883,54,0
DLH-2485H,16,846,887,84,0
BAW-1393T,98,834,892,269,0
BAW-3904O,90,862,893,100,0
AFR-4812V,92,866,905,327,0
FIN-7051W,93,867,917,278,0
AFR-1847H,12,875,917,81,0
WZZ-0459V,23,883,922,99,0
THY-0903T,20,894,929,60,0
TUI-5872H,14,898,934,82,0
FIN-2340U,100,880,939,343,0
AFR-0646S,91,909,948,125,0
THY-6907F,30,923,951,60,0
IBE-8321I,18,900,952,80,0
WZZ-5649Z,19,908,954,86,0
TUI-6611Z,22,908,954,110,0
IBE-2124O,1,908,961,306,0
FIN-6186D,17,908,961,92,0
SAS-3726U,4,911,962,307,0
FIN-6789D,29,926,963,115,0
RYR-1692H,27,923,967,74,0
IBE-6966S,94,931,980,290,0
SAS-6786I,13,950,988,66,0
TUI-6042D,93,961,997,120,0
WZZ-3209D,11,957,1013,325,0
EZY-0928Z,97,984,1015,50,0
RYR-9180G,3,974,1017,123,0
SAS-0146I,8,972,1017,285,0
RYR-0522E,15,978,1020,96,0
EZY-2954I,26,978,1021,103,0
RYR-7902O,90,971,1023,87,0
SAS-0810X,16,991,1027,127,0
AFR-6680N,20,975,1029,287,0
KLM-2530C,23,967,1030,234,0
KLM-6340T,91,996,1031,80,0
RYR-9133X,14,979,1031,298,0
AFR-6632N,22,998,1038,62,0
BAW-7870C,100,1013,1046,90,0
THY-6205Z,24,1023,1049,98,0
KLM-2102N,96,1020,1065,85,0
THY-0942J,18,1040,1078,106,0
AFR-3774D,6,1032,1084,352,0
SAS-3805Z,29,1044,1084,76,0
SAS-9221A,17,1052,1087,55,0
THY-5162K,9,1040,1087,265,0
DLH-1240E,5,1053,1101,55,0
AFR-5685F,19,1045,1106,326,0
SAS-1491B,14,1076,1113,67,0
WZZ-7359V,23,1093,1127,55,0
IBE-1964L,7,1098,1144,94,0
IBE-5153B,20,1111,1146,27,0
WZZ-3560Y,25,1106,1152,65,0
AFR-7155F,18,1113,1158,81,0
FIN-5902C,94,1117,1165,82,0
RYR-5229S,98,1126,1167,94,0
RYR-6736A,100,1145,1175,78,0
THY-6028C,96,1144,1180,58,0
IBE-1388M,90,1155,1185,63,0
RYR-8463U,30,1161,1195,120,0
KLM-2519H,92,1144,1196,54,0
FIN-1334F,12,1157,1196,88,0
SAS-5395U,3,1146,1206,290,0
WZZ-4600S,6,1173,1210,75,0
EZY-1032L,91,1181,1212,108,0
SAS-9833Q,95,1174,1217,98,0
EZY-7468Z,23,1186,1226,70,0
EZY-7481D,16,1174,1227,259,0
EZY-4159W,20,1199,1228,96,0
KLM-6208J,22,1191,1231,85,0
FIN-5582C,97,1201,1245,112,0
THY-9974E,26,1213,1248,28,0
WZZ-6521E,11,1220,1255,75,0
KLM-2193V,99,1209,1257,269,0
EZY-6040J,90,1215,1260,276,0
TUI-3811E,5,1228,1263,117,0
IBE-8726B,17,1222,1265,90,0
DLH-2627F,13,1215,1265,308,0
BAW-7270B,2,1230,1271,155,0
SAS-4768Y,24,1237,1275,53,0
AFR-3278L,7,1228,1277,68,0
DLH-8339Q,10,1221,1278,277,0
BAW-4196B,15,1254,1283,86,0
IBE-2142J,18,1235,1288,284,0
BAW-7267C,4,1254,1288,100,0
DLH-0972M,8,1251,1296,111,0
TUI-0561K,21,1260,1314,301,0
BAW-0727J,30,1272,1316,54,0
AFR-0186C,6,1286,1317,90,0
THY-8747N,24,1311,1352,116,0
TUI-6978U,27,1312,1354,106,0
