departure_time,boardingtime,domestic_international,aircraft_wing_span,passengers,based_aircraft,coached_1_0,flight_code,B_min,D_min,Hour,assigned_gate,is_coached_model
05:31,04:43,International,35.9,109,No,0,AFR-7986G,283,331,4,13,0
05:37,05:05,International,26.3,46,Yes,1,DLH-4445Z,305,337,5,2,0
05:51,05:10,International,27.2,86,No,0,IBE-8073E,310,351,5,8,0
06:05,05:16,International,36.8,112,No,0,IBE-1098X,316,365,5,3,0
06:10,05:33,Domestic,28.9,79,No,0,IBE-2679B,333,370,5,14,0
06:13,05:23,Domestic,60.5,255,Yes,0,TUI-6715D,323,373,5,29,0
06:16,05:11,International,60.0,280,No,0,SAS-9360Q,311,376,5,97,0
06:18,05:49,International,28.2,103,Yes,0,TUI-4451M,349,378,5,95,0
06:21,05:40,International,34.0,118,No,0,RYR-0252O,340,381,5,26,0
06:22,05:27,International,59.8,260,No,1,TUI-8388I,327,382,5,22,0
06:22,05:41,International,33.9,96,No,0,KLM-4769F,341,382,5,92,0
06:39,05:57,International,26.9,126,No,0,FIN-8766A,357,399,5,96,0
06:42,05:53,International,64.3,294,No,0,BAW-4433D,353,402,5,17,0
06:46,06:05,International,36.0,86,Yes,0,TUI-5717G,365,406,6,12,0
06:58,06:12,International,64.9,312,No,0,EZY-1612U,372,418,6,10,0
07:00,06:26,International,25.9,68,Yes,0,BAW-4391F,386,420,6,5,0
07:02,06:31,International,27.5,84,No,1,RYR-2542R,391,422,6,99,0
07:07,06:20,International,34.3,144,No,0,BAW-0785J,380,427,6,30,0
07:13,06:27,International,28.3,64,No,0,KLM-3541V,387,433,6,93,0
07:14,06:28,International,35.6,106,No,0,DLH-2632H,388,434,6,98,0
07:17,06:52,International,33.9,89,No,0,EZY-3038X,412,437,6,2,0
07:19,06:48,International,28.4,70,No,0,THY-4165I,408,439,6,4,0
07:22,06:43,International,34.5,66,Yes,0,AFR-3744G,403,442,6,90,0
07:25,06:55,International,27.1,109,No,0,TUI-0487V,415,445,6,20,0
07:25,06:49,International,36.1,96,No,1,WZZ-5853U,409,445,6,19,0
07:28,06:40,International,60.4,284,No,0,RYR-4379F,400,448,6,7,0
07:29,06:37,International,60.1,269,No,1,DLH-5763X,397,449,6,25,0
07:31,06:59,International,28.9,117,No,0,SAS-3214I,419,451,6,29,0
07:42,07:02,International,34.6,53,Yes,0,IBE-3328L,422,462,7,21,0
07:44,07:10,Domestic,26.1,62,No,0,KLM-2141X,430,464,7,3,0
07:47,07:09,International,35.8,83,No,0,THY-4944R,429,467,7,13,0
07:48,07:11,International,34.3,100,No,0,THY-2951T,431,468,7,8,0
07:48,06:52,International,60.3,287,No,1,WZZ-3543N,412,468,6,1,0
07:49,07:01,International,60.3,258,No,0,IBE-7852Z,421,469,7,91,0
07:54,07:13,International,34.3,107,No,0,SAS-5591C,433,474,7,16,0
07:55,07:17,International,35.8,137,Yes,0,EZY-0857H,437,475,7,96,0
08:00,07:23,International,27.2,68,No,0,FIN-9531G,443,480,7,92,0
08:02,07:19,International,26.3,101,Yes,0,EZY-1846Y,439,482,7,100,0
08:06,07:24,International,26.3,71,No,0,AFR-0922R,444,486,7,14,0
